_c0,signal_std,signal_rad,pluie
2022-12-08T01:21:00.000+01:00,-19.923012,-31.087074,0
2022-12-08T01:22:00.000+01:00,-19.861221,-31.099148,0
2022-12-08T01:23:00.000+01:00,-19.842756,-31.090626,0
2022-12-08T01:24:00.000+01:00,-19.859802,-31.092754,0
2022-12-08T01:25:00.000+01:00,-19.866192,-31.086363,0
2022-12-08T01:26:00.000+01:00,-19.85199,-31.098438,0
2022-12-08T01:27:00.000+01:00,-19.816477,-31.090626,0
2022-12-08T01:28:00.000+01:00,-19.891052,-31.087784,0
2022-12-08T01:29:00.000+01:00,-19.85625,-31.10696,0
2022-12-08T01:30:00.000+01:00,-19.881819,-31.092045,0
2022-12-08T01:31:00.000+01:00,-19.88324,-31.105541,0
2022-12-08T01:32:00.000+01:00,-19.871166,-31.10199,0
2022-12-08T01:33:00.000+01:00,-19.829971,-31.112642,0
2022-12-08T01:34:00.000+01:00,-19.85767,-31.103409,0
2022-12-08T01:35:00.000+01:00,-19.889631,-31.093468,0
2022-12-08T01:36:00.000+01:00,-19.878979,-31.10128,0
2022-12-08T01:37:00.000+01:00,-19.870455,-31.1027,0
2022-12-08T01:38:00.000+01:00,-19.847727,-31.099857,0
2022-12-08T01:39:00.000+01:00,-19.916618,-31.092754,0
2022-12-08T01:40:00.000+01:00,-19.878979,-31.091335,0
2022-12-08T01:41:00.000+01:00,-19.885368,-31.093466,0
2022-12-08T01:42:00.000+01:00,-19.8875,-31.091335,0
2022-12-08T01:43:00.000+01:00,-19.899574,-31.091335,0
2022-12-08T01:44:00.000+01:00,-19.839916,-31.097729,0
2022-12-08T01:45:00.000+01:00,-19.874718,-31.095596,0
2022-12-08T01:46:00.000+01:00,-19.872585,-31.092754,0
2022-12-08T01:47:00.000+01:00,-19.881107,-31.099148,0
2022-12-08T01:48:00.000+01:00,-19.864063,-31.091335,0
2022-12-08T01:49:00.000+01:00,-19.874716,-31.082813,0
2022-12-08T01:50:00.000+01:00,-19.874716,-31.088493,0
2022-12-08T01:51:00.000+01:00,-19.873295,-31.087784,0
2022-12-08T01:52:00.000+01:00,-19.891762,-31.082813,0
2022-12-08T01:53:00.000+01:00,-19.88324,-31.088493,0
2022-12-08T01:54:00.000+01:00,-19.863354,-31.089916,0
2022-12-08T01:55:00.000+01:00,-19.873295,-31.077131,0
2022-12-08T01:56:00.000+01:00,-19.907387,-31.093466,0
2022-12-08T01:57:00.000+01:00,-19.86193,-31.091335,0
2022-12-08T01:58:00.000+01:00,-19.85909,-31.08068,0
2022-12-08T01:59:00.000+01:00,-19.89318,-31.077131,0
2022-12-08T02:00:00.000+01:00,-19.82429,-31.085653,0
2022-12-08T02:01:00.000+01:00,-19.85483,-31.083523,0
2022-12-08T02:02:00.000+01:00,-19.834232,-31.084942,0
2022-12-08T02:03:00.000+01:00,-19.884659,-31.07571,0
2022-12-08T02:04:00.000+01:00,-19.860512,-31.083523,0
2022-12-08T02:05:00.000+01:00,-19.892471,-31.073578,0
2022-12-08T02:06:00.000+01:00,-19.865482,-31.081392,0
2022-12-08T02:07:00.000+01:00,-19.836365,-31.085653,0
2022-12-08T02:08:00.000+01:00,-19.871166,-31.077131,0
2022-12-08T02:09:00.000+01:00,-19.847727,-31.081392,0
2022-12-08T02:10:00.000+01:00,-19.836365,-31.072868,0
2022-12-08T02:11:00.000+01:00,-19.83068,-31.050854,0
2022-12-08T02:12:00.000+01:00,-19.832813,-31.072159,0
2022-12-08T02:13:00.000+01:00,-19.881107,-31.082102,0
2022-12-08T02:14:00.000+01:00,-19.811506,-31.061504,0
2022-12-08T02:15:00.000+01:00,-19.86193,-31.062927,0
2022-12-08T02:16:00.000+01:00,-19.837784,-31.068607,0
2022-12-08T02:17:00.000+01:00,-19.839914,-31.065056,0
2022-12-08T02:18:00.000+01:00,-19.851278,-31.07429,0
2022-12-08T02:19:00.000+01:00,-19.846306,-31.067188,0
2022-12-08T02:20:00.000+01:00,-19.877556,-31.07571,0
2022-12-08T02:21:00.000+01:00,-19.825,-31.072159,0
2022-12-08T02:22:00.000+01:00,-19.8527,-31.07358,0
2022-12-08T02:23:00.000+01:00,-19.8527,-31.068607,0
2022-12-08T02:24:00.000+01:00,-19.828552,-31.065767,0
2022-12-08T02:25:00.000+01:00,-19.88608,-31.069317,0
2022-12-08T02:26:00.000+01:00,-19.8527,-31.068607,0
2022-12-08T02:27:00.000+01:00,-19.829971,-31.079262,0
2022-12-08T02:28:00.000+01:00,-19.907387,-31.067898,0
2022-12-08T02:29:00.000+01:00,-19.82642,-31.07358,0
2022-12-08T02:30:00.000+01:00,-19.89318,-31.058664,0
2022-12-08T02:31:00.000+01:00,-19.817898,-31.07571,0
2022-12-08T02:32:00.000+01:00,-19.837784,-31.065767,0
2022-12-08T02:33:00.000+01:00,-19.841335,-31.067188,0
2022-12-08T02:34:00.000+01:00,-19.912357,-31.07571,0
2022-12-08T02:35:00.000+01:00,-19.911648,-31.07713,0
2022-12-08T02:36:00.000+01:00,-19.812218,-31.083523,0
2022-12-08T02:37:00.000+01:00,-19.844177,-31.07145,0
2022-12-08T02:38:00.000+01:00,-19.824291,-31.073578,0
2022-12-08T02:39:00.000+01:00,-19.79446,-31.068607,0
2022-12-08T02:40:00.000+01:00,-19.874006,-31.07571,0
2022-12-08T02:41:00.000+01:00,-19.895313,-31.065767,0
2022-12-08T02:42:00.000+01:00,-19.817188,-31.067188,0
2022-12-08T02:43:00.000+01:00,-19.85625,-31.070028,0
2022-12-08T02:44:00.000+01:00,-19.79659,-31.086365,0
2022-12-08T02:45:00.000+01:00,-19.906677,-31.07784,0
2022-12-08T02:46:00.000+01:00,-19.874004,-31.068607,0
2022-12-08T02:47:00.000+01:00,-19.820738,-31.067898,0
2022-12-08T02:48:00.000+01:00,-19.850569,-31.072159,0
2022-12-08T02:49:00.000+01:00,-19.88324,-31.08068,0
2022-12-08T02:50:00.000+01:00,-19.868324,-31.079971,0
2022-12-08T02:51:00.000+01:00,-19.825,-31.077131,0
2022-12-08T02:52:00.000+01:00,-19.944319,-31.052982,0
2022-12-08T02:53:00.000+01:00,-19.837784,-31.065767,0
2022-12-08T02:54:00.000+01:00,-19.82855,-31.072159,0
2022-12-08T02:55:00.000+01:00,-19.865482,-31.060795,0
2022-12-08T02:56:00.000+01:00,-19.868324,-31.059376,0
2022-12-08T02:57:00.000+01:00,-19.904545,-31.070028,0
2022-12-08T02:58:00.000+01:00,-19.864063,-31.055824,0
